"name","name_ascii","type","county_fips","state_id","state_name","lat","lng","population"
"Yamhill","Yamhill","County","41071","OR","Oregon","45.2326","-123.3081","107024"
"Wheeler","Wheeler","County","41069","OR","Oregon","44.7261","-120.0275","1477"
"Washington","Washington","County","41067","OR","Oregon","45.56","-123.0984","596969"
"Wasco","Wasco","County","41065","OR","Oregon","45.16","-121.1679","26603"
"Wallowa","Wallowa","County","41063","OR","Oregon","45.5799","-117.181","7330"
"Union","Union","County","41061","OR","Oregon","45.3102","-118.0088","26255"
"Umatilla","Umatilla","County","41059","OR","Oregon","45.5919","-118.7369","79509"
"Tillamook","Tillamook","County","41057","OR","Oregon","45.4637","-123.7127","27129"
"Sherman","Sherman","County","41055","OR","Oregon","45.4052","-120.6894","1784"
"Polk","Polk","County","41053","OR","Oregon","44.9035","-123.4132","86347"
"Multnomah","Multnomah","County","41051","OR","Oregon","45.5468","-122.4148","810011"
"Morrow","Morrow","County","41049","OR","Oregon","45.419","-119.5844","11964"
"Marion","Marion","County","41047","OR","Oregon","44.9033","-122.5845","344037"
"Malheur","Malheur","County","41045","OR","Oregon","43.1934","-117.6232","31313"
"Linn","Linn","County","41043","OR","Oregon","44.4886","-122.5343","127200"
"Lincoln","Lincoln","County","41041","OR","Oregon","44.642","-123.8682","49866"
"Lane","Lane","County","41039","OR","Oregon","43.9386","-122.848","380532"
"Lake","Lake","County","41037","OR","Oregon","42.7934","-120.3874","8119"
"Klamath","Klamath","County","41035","OR","Oregon","42.6864","-121.6502","68899"
"Josephine","Josephine","County","41033","OR","Oregon","42.3655","-123.5555","87686"
"Jefferson","Jefferson","County","41031","OR","Oregon","44.6294","-121.176","24232"
"Jackson","Jackson","County","41029","OR","Oregon","42.4322","-122.7285","221662"
"Hood River","Hood River","County","41027","OR","Oregon","45.519","-121.6511","23915"
"Harney","Harney","County","41025","OR","Oregon","43.0641","-118.968","7454"
"Grant","Grant","County","41023","OR","Oregon","44.4916","-119.0073","7225"
"Gilliam","Gilliam","County","41021","OR","Oregon","45.3783","-120.2108","1954"
"Douglas","Douglas","County","41019","OR","Oregon","43.2797","-123.1665","110680"
"Deschutes","Deschutes","County","41017","OR","Oregon","43.915","-121.2281","194964"
"Curry","Curry","County","41015","OR","Oregon","42.4576","-124.1568","23234"
"Crook","Crook","County","41013","OR","Oregon","44.1422","-120.3566","24300"
"Coos","Coos","County","41011","OR","Oregon","43.1742","-124.0594","64619"
"Columbia","Columbia","County","41009","OR","Oregon","45.9438","-123.0883","52381"
"Clatsop","Clatsop","County","41007","OR","Oregon","45.995","-123.6557","40720"
"Clackamas","Clackamas","County","41005","OR","Oregon","45.188","-122.2209","418577"
"Benton","Benton","County","41003","OR","Oregon","44.4918","-123.4293","94667"
"Baker","Baker","County","41001","OR","Oregon","44.7091","-117.6753","16539"
